Epoch,Train Loss,Trian Time,Valid Loss,Valid Time,Eval Metrics,Test Loss,Test Metrics,Test Time,Time,Test Result Dir
1,134499.74990844727,0:00:51,2819.1802139282227,0:00:01,"{'weighted_f1': 0.8682604885570447, 'micro_f1': 0.8746360076312882, 'marco_f1': 0.6209326488205898}",0,,0:00:03,20220221_2101,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_crf/results/Exp_LR0.015_Batch32_LossSeqWiseCrossEntropyLoss
2,40415.67470550537,0:00:50,2390.371726989746,0:00:01,"{'weighted_f1': 0.8833533846398549, 'micro_f1': 0.8856310874585802, 'marco_f1': 0.6663538605608432}",0,,0:00:03,20220221_2102,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_crf/results/Exp_LR0.015_Batch32_LossSeqWiseCrossEntropyLoss
3,26659.39654159546,0:00:49,2145.0232315063477,0:00:01,"{'weighted_f1': 0.8959831016445211, 'micro_f1': 0.8989356361080428, 'marco_f1': 0.7079272699031947}",0,,0:00:03,20220221_2103,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_crf/results/Exp_LR0.015_Batch32_LossSeqWiseCrossEntropyLoss
4,16275.053327560425,0:00:50,2313.8140563964844,0:00:01,"{'weighted_f1': 0.8992125464159494, 'micro_f1': 0.901044281554373, 'marco_f1': 0.7143766069402333}",0,,0:00:03,20220221_2104,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_crf/results/Exp_LR0.015_Batch32_LossSeqWiseCrossEntropyLoss
5,8600.796880722046,0:00:49,2302.6880989074707,0:00:01,"{'weighted_f1': 0.8979795509389591, 'micro_f1': 0.8999397529872478, 'marco_f1': 0.7151288636937451}",0,,0:00:03,20220221_2105,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_crf/results/Exp_LR0.015_Batch32_LossSeqWiseCrossEntropyLoss
