Epoch,Train Loss,Trian Time,Valid Loss,Valid Time,Eval Metrics,Test Loss,Test Metrics,Test Time,Time,Test Result Dir
1,308087.0202636719,0:00:51,8116.922393798828,0:00:01,"{'weighted_f1': 0.8370467891396925, 'micro_f1': 0.8501857616226529, 'marco_f1': 0.512198033919465}",0,,0:00:03,20220221_2044,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_crf/results/Exp_LR0.002_Batch32_LossSeqWiseCrossEntropyLoss
2,120060.38511657715,0:00:52,5735.638153076172,0:00:01,"{'weighted_f1': 0.8679314727586571, 'micro_f1': 0.8738327141279245, 'marco_f1': 0.6183849361147894}",0,,0:00:03,20220221_2045,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_crf/results/Exp_LR0.002_Batch32_LossSeqWiseCrossEntropyLoss
3,79753.04042053223,0:00:53,4713.002044677734,0:00:01,"{'weighted_f1': 0.8815008738167278, 'micro_f1': 0.8858821166783812, 'marco_f1': 0.6631987940585178}",0,,0:00:03,20220221_2046,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_crf/results/Exp_LR0.002_Batch32_LossSeqWiseCrossEntropyLoss
4,59823.44080352783,0:00:52,4395.508529663086,0:00:01,"{'weighted_f1': 0.8869371734084425, 'micro_f1': 0.8902500251029218, 'marco_f1': 0.675339520110572}",0,,0:00:03,20220221_2047,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_crf/results/Exp_LR0.002_Batch32_LossSeqWiseCrossEntropyLoss
5,49574.140354156494,0:00:52,4370.252136230469,0:00:01,"{'weighted_f1': 0.887780217774204, 'micro_f1': 0.8910533186062858, 'marco_f1': 0.6804849023705349}",0,,0:00:03,20220221_2048,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_crf/results/Exp_LR0.002_Batch32_LossSeqWiseCrossEntropyLoss
