Epoch,Train Loss,Trian Time,Valid Loss,Valid Time,Eval Metrics,Test Loss,Test Metrics,Test Time,Time,Test Result Dir
1,10040.984216570854,0:00:32,324.5489168167114,0:00:00,"{'weighted_f1': 0.8201148383817676, 'micro_f1': 0.8354252434983432, 'marco_f1': 0.4635592086376917}",0,,0:00:01,20220218_1348,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_softmax/results/Exp_LR0.002_Batch32_LossSeqWiseCrossEntropyLoss
2,5254.11865401268,0:00:31,265.2857780456543,0:00:00,"{'weighted_f1': 0.8563449102497436, 'micro_f1': 0.8629882518325133, 'marco_f1': 0.5776191750407093}",0,,0:00:01,20220218_1349,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_softmax/results/Exp_LR0.002_Batch32_LossSeqWiseCrossEntropyLoss
3,4017.8203431367874,0:00:32,240.35614204406738,0:00:00,"{'weighted_f1': 0.8686444132825768, 'micro_f1': 0.8732302440004016, 'marco_f1': 0.6119795267993351}",0,,0:00:01,20220218_1349,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_softmax/results/Exp_LR0.002_Batch32_LossSeqWiseCrossEntropyLoss
4,3356.1479634940624,0:00:31,233.9312868118286,0:00:00,"{'weighted_f1': 0.8709849143827189, 'micro_f1': 0.8760417712621749, 'marco_f1': 0.6247201374341979}",0,,0:00:01,20220218_1350,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_softmax/results/Exp_LR0.002_Batch32_LossSeqWiseCrossEntropyLoss
5,2958.834053039551,0:00:32,232.51212310791016,0:00:00,"{'weighted_f1': 0.8732487249448131, 'micro_f1': 0.8775981524249422, 'marco_f1': 0.6315836312915949}",0,,0:00:02,20220218_1350,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_softmax/results/Exp_LR0.002_Batch32_LossSeqWiseCrossEntropyLoss
