Epoch,Train Loss,Trian Time,Valid Loss,Valid Time,Eval Metrics,Test Loss,Test Metrics,Test Time,Time,Test Result Dir
1,10135.429543375969,0:00:32,327.1828508377075,0:00:01,"{'weighted_f1': 0.8165854473007219, 'micro_f1': 0.8358268902500251, 'marco_f1': 0.455134314949841}",0,,0:00:02,20220218_1734,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_softmax/results/Exp_LR0.002_Batch32_LossSeqWiseCrossEntropyLoss
2,5328.115114450455,0:00:32,264.2507162094116,0:00:01,"{'weighted_f1': 0.8577733987036755, 'micro_f1': 0.8635907219600362, 'marco_f1': 0.5834836398615938}",0,,0:00:02,20220218_1735,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_softmax/results/Exp_LR0.002_Batch32_LossSeqWiseCrossEntropyLoss
3,4092.6499589681625,0:00:32,240.79541301727295,0:00:00,"{'weighted_f1': 0.8708006146833411, 'micro_f1': 0.8775981524249422, 'marco_f1': 0.6294162426170494}",0,,0:00:01,20220218_1736,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_softmax/results/Exp_LR0.002_Batch32_LossSeqWiseCrossEntropyLoss
4,3415.8604365587234,0:00:32,228.86664009094238,0:00:00,"{'weighted_f1': 0.8791867456977142, 'micro_f1': 0.8832212069484888, 'marco_f1': 0.6540952918101195}",0,,0:00:01,20220218_1736,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_softmax/results/Exp_LR0.002_Batch32_LossSeqWiseCrossEntropyLoss
5,3012.010415792465,0:00:31,226.96399593353271,0:00:01,"{'weighted_f1': 0.8793470453983018, 'micro_f1': 0.8842755296716538, 'marco_f1': 0.6574708820536094}",0,,0:00:02,20220218_1737,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_softmax/results/Exp_LR0.002_Batch32_LossSeqWiseCrossEntropyLoss
