Epoch,Train Loss,Trian Time,Valid Loss,Valid Time,Eval Metrics,Test Loss,Test Metrics,Test Time,Time,Test Result Dir
1,116827.73240661621,0:00:50,2735.8543243408203,0:00:01,"{'weighted_f1': 0.8757040175366024, 'micro_f1': 0.8789035043679084, 'marco_f1': 0.650300743273229}",0,,0:00:03,20220221_2056,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_crf/results/Exp_LR0.02_Batch32_LossSeqWiseCrossEntropyLoss
2,41299.950912475586,0:00:50,2368.8798065185547,0:00:01,"{'weighted_f1': 0.873919617390417, 'micro_f1': 0.8801084446229541, 'marco_f1': 0.6356944923192613}",0,,0:00:03,20220221_2057,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_crf/results/Exp_LR0.02_Batch32_LossSeqWiseCrossEntropyLoss
3,29078.639415740967,0:00:50,2226.4651260375977,0:00:01,"{'weighted_f1': 0.8925295965861552, 'micro_f1': 0.8945677276835023, 'marco_f1': 0.6987859554547106}",0,,0:00:03,20220221_2058,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_crf/results/Exp_LR0.02_Batch32_LossSeqWiseCrossEntropyLoss
4,18936.337768554688,0:00:50,2346.2544326782227,0:00:01,"{'weighted_f1': 0.8905422353530896, 'micro_f1': 0.8933627874284567, 'marco_f1': 0.6973182188920609}",0,,0:00:03,20220221_2059,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_crf/results/Exp_LR0.02_Batch32_LossSeqWiseCrossEntropyLoss
5,10324.458620071411,0:00:49,2318.8942794799805,0:00:01,"{'weighted_f1': 0.8941969341386106, 'micro_f1': 0.8965759614419119, 'marco_f1': 0.7066486398876709}",0,,0:00:03,20220221_2100,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_crf/results/Exp_LR0.02_Batch32_LossSeqWiseCrossEntropyLoss
