Epoch,Train Loss,Trian Time,Valid Loss,Valid Time,Eval Metrics,Test Loss,Test Metrics,Test Time,Time,Test Result Dir
1,149814.57655334473,0:00:51,3154.03409576416,0:00:01,"{'weighted_f1': 0.8759276438461139, 'micro_f1': 0.8785520634601868, 'marco_f1': 0.6508288553973787}",0,,0:00:03,20220221_2051,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_crf/results/Exp_LR0.01_Batch32_LossSeqWiseCrossEntropyLoss
2,42233.49077606201,0:00:51,2317.028495788574,0:00:01,"{'weighted_f1': 0.8902686417483324, 'micro_f1': 0.8927101114569735, 'marco_f1': 0.6895086568681534}",0,,0:00:03,20220221_2052,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_crf/results/Exp_LR0.01_Batch32_LossSeqWiseCrossEntropyLoss
3,24748.358192443848,0:00:53,2311.771728515625,0:00:01,"{'weighted_f1': 0.896760105144878, 'micro_f1': 0.8973792549452756, 'marco_f1': 0.7067950223937755}",0,,0:00:03,20220221_2053,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_crf/results/Exp_LR0.01_Batch32_LossSeqWiseCrossEntropyLoss
4,14462.662075042725,0:00:50,2303.0745849609375,0:00:01,"{'weighted_f1': 0.9015643227096027, 'micro_f1': 0.9032533386886233, 'marco_f1': 0.7236632799319397}",0,,0:00:03,20220221_2054,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_crf/results/Exp_LR0.01_Batch32_LossSeqWiseCrossEntropyLoss
5,7293.923250198364,0:00:50,2456.5485763549805,0:00:01,"{'weighted_f1': 0.9017574295184287, 'micro_f1': 0.9033035445325835, 'marco_f1': 0.720570330185866}",0,,0:00:03,20220221_2055,/Users/barryzhou/Desktop/Barry2022/codes/ner/pytorch_ner/examples/cluener_lstm_crf/results/Exp_LR0.01_Batch32_LossSeqWiseCrossEntropyLoss
